"ID","title","org"
"da2d0b49-ce59-49d2-afc3-bdf350f60dec","Download COVID Alert today","Public Health Agency of Canada | Agence de la santé publique du Canada"
"442f259b-ca9f-46c5-9678-ac5396a40721","Download COVID Alert today","Public Health Agency of Canada | Agence de la santé publique du Canada"
"799aa501-5611-4c88-8937-71e58b8daaa7","Special Committee on COVID","Health Canada | Santé Canada"
"25d62706-d201-4760-9ce5-9ae69783e52c","Special Committee on COVID","Health Canada | Santé Canada"
"4ea1626f-2fff-471d-b862-0bcc3cf5d743","Special Committee on COVID","Health Canada | Santé Canada"
"2148dda6-7efd-4876-9279-a9843257fed2","Special Committee on COVID","Health Canada | Santé Canada"
"9b79cac9-5915-434b-b35d-915aa9f75acb","Special Committee on COVID","Health Canada | Santé Canada"
"6755f53b-e52e-4be5-9c22-1a28d10d2e2e","Animals and COVID-19","Public Health Agency of Canada | Agence de la santé publique du Canada"
"e724f37f-7a27-4394-91c7-b3685f69f69a","Special Committee on COVID","Health Canada | Santé Canada"
"5a5efcfe-8f18-4d26-94b4-b56c68b956e2","Special Committee on COVID","Health Canada | Santé Canada"
"71a277e7-87b4-4979-8d11-dbe4ab476554","Parenting during COVID-19","Public Health Agency of Canada | Agence de la santé publique du Canada"
"25bf270d-b108-4daf-b82a-59f59964b45d","Coronavirus (COVID-19) Updates","Canada Mortgage and Housing Corporation | Société canadienne d'hypothèques et de logement"
"a7bd7e64-d3d8-459a-8906-c4c9c8c704dd","COVID-19 and ibuprofen","Public Health Agency of Canada | Agence de la santé publique du Canada"
"d2b89baa-2d17-4233-a8ba-67083f3b4059","Testing for COVID-19","Public Health Agency of Canada | Agence de la santé publique du Canada"
"92852b06-afb7-488d-a17c-16ea4c7b0f0f","Understanding COVID-19 testing","Public Health Agency of Canada | Agence de la santé publique du Canada"
"13466df6-4cf4-49ac-a7b1-a3e5143720b5","Coronavirus disease (COVID-19): Measures to reduce COVID-19 in your community","Public Health Agency of Canada | Agence de la santé publique du Canada"
"70949aaa-d59b-49df-9067-ae4b68c3f8b1","Health product advertising incidents related to COVID-19: COVID-19 advertising incidents ","Health Canada | Santé Canada"
"2af1a7f4-431e-41c7-8c67-fe2348ccf031","COVID-19 Emergency Loan Program","Global Affairs Canada | Affaires mondiales Canada"
"2229b958-1571-4aa4-a6ac-613af6329fdd","About coronavirus disease (COVID-19)","Public Health Agency of Canada | Agence de la santé publique du Canada"
"77aad0ec-2ca7-4e9f-baba-2ddb3030ca7a","Be prepared (COVID-19): Infographic","Public Health Agency of Canada | Agence de la santé publique du Canada"
"3aa1e211-dc38-4d26-bfc3-054f24802421","Entering Canada during COVID-19","Public Health Agency of Canada | Agence de la santé publique du Canada"
"b4d63160-d210-4b60-afec-f5e740023cdf","Entering Canada during COVID-19","Public Health Agency of Canada | Agence de la santé publique du Canada"
"f659d98a-4945-4ace-9c3f-35226d4a8037","Mathematical modelling and COVID-19","Public Health Agency of Canada | Agence de la santé publique du Canada"
"2bbbac05-d0ce-481f-a28d-7540f05ab559","COVID-19: For health professionals","Public Health Agency of Canada | Agence de la santé publique du Canada"
"42e236d8-1661-442d-96d7-4175fb2f96ca","COVID-19: Cleaning and disinfecting","Public Health Agency of Canada | Agence de la santé publique du Canada"
"fafb2337-901b-4a7a-b948-2f6e541d1dd6","COVID-19: For health professionals","Public Health Agency of Canada | Agence de la santé publique du Canada"
"b92ac53f-0491-4594-800e-28a4a3bf11d2","Cyber Hygiene for COVID-19","Communications Security Establishment Canada | Centre de la sécurité des télécommunications Canada"
"83df4f89-45da-4c25-b12a-1bfbae29fadc","Vulnerable populations and COVID-19","Public Health Agency of Canada | Agence de la santé publique du Canada"
"b8936825-8176-41d0-bddc-952bddb8a1e4","COVID-19 Fisheries and Oceans","Fisheries and Oceans Canada | Pêches et Océans Canada"
"6e4c047c-5c5a-4518-9129-7f1f39b88902","COVID-19 Fisheries and Oceans","Fisheries and Oceans Canada | Pêches et Océans Canada"
"eb4bd638-6e7d-454d-be7c-d5c8b2ae1c88","COVID-19: Improving indoor ventilation","Public Health Agency of Canada | Agence de la santé publique du Canada"
"b2a6143f-0f90-4ba4-bf56-7cadf0114c4c","COVID-19 Fisheries and Oceans","Fisheries and Oceans Canada | Pêches et Océans Canada"
"5ebac5ec-03bd-46f1-895e-1ac2645edfd7","COVID-19 Fisheries and Oceans","Fisheries and Oceans Canada | Pêches et Océans Canada"
"2b29eda0-c4dd-46de-adcb-e169914bfe9c","2019 Novel Coronavirus (COVID-19)","Public Health Agency of Canada | Agence de la santé publique du Canada"
"cf342e32-9899-45f1-843b-9690970ca108","CFIA information on COVID-19","Canadian Food Inspection Agency | Agence canadienne d'inspection des aliments"
"a3d22193-524c-4813-90db-ec3b360efa89","About coronavirus disease (COVID-19)","Public Health Agency of Canada | Agence de la santé publique du Canada"
"a3959268-c55d-4900-951f-98e1d6ef78e3","COVID-19 mandatory hotel stopover","Public Health Agency of Canada | Agence de la santé publique du Canada"
"8ee48eaf-408c-436f-a37e-4f74701d2447","Coronavirus disease (COVID-19): Locations where you may have been exposed to COVID-19","Public Health Agency of Canada | Agence de la santé publique du Canada"
"80650ebd-26c8-4144-88c6-eb4522ac6fec","COVID Alert app: Spread the word","Public Health Agency of Canada | Agence de la santé publique du Canada"
"28dd52e1-5fad-4fbd-8276-022ee1d01f2e","COVID-19: Testing and reducing stigma","Public Health Agency of Canada | Agence de la santé publique du Canada"
"dcc72d22-4034-4133-84fd-668dcf840a5e","Be prepared for COVID-19 (factsheet)","Public Health Agency of Canada | Agence de la santé publique du Canada"
"d2e5ba45-9c3b-4899-9d65-4f39049d8370","Coronavirus disease (COVID-19) vaccines: Overview","Public Health Agency of Canada | Agence de la santé publique du Canada"
"28337ee5-126b-443b-b2bd-35c236ece411","COVID-19 in Canada: Modelling update","Public Health Agency of Canada | Agence de la santé publique du Canada"
"046b22ce-63e3-4c5d-9758-fe357105205a","Vaccines and treatments for COVID-19","Health Canada | Santé Canada"
"7005c4ca-a541-4a30-a22a-40c4942ba9bd","Coronavirus disease (COVID-19) vaccines: Overview","Public Health Agency of Canada | Agence de la santé publique du Canada"
"9054247c-5eab-4cfa-81da-7c4d218dff54","Be prepared for COVID-19 (infographic)","Public Health Agency of Canada | Agence de la santé publique du Canada"
"252d4337-3b9b-4a91-b22d-14c7f619b5d5","Ventilators for patients with COVID-19","Health Canada | Santé Canada"
"016a89d5-f91e-4ea6-a8bc-192105d102c4","COVID-19: How vaccines are developed ","Public Health Agency of Canada | Agence de la santé publique du Canada"
"5f3f975f-4144-4d86-ae11-1098b4d55a57","Coronavirus (COVID-19) and Indigenous communities","Public Health Agency of Canada | Agence de la santé publique du Canada"
"7edd429d-1297-41db-95e4-03cee63fe7e1","Good Manufacturing Practices and COVID-19","Health Canada | Santé Canada"
"5ffec1de-2111-4c1f-8dca-d4db28618fec","COVID 19: How you can help","Public Health Agency of Canada | Agence de la santé publique du Canada"
"1f101506-558a-4d5c-9e20-afc6a3a1fa2e","Going out safely during COVID-19","Public Health Agency of Canada | Agence de la santé publique du Canada"
"47e4c1cb-94e4-46a2-a03d-776edacf8ec5","Be prepared for COVID-19 (factsheet)","Public Health Agency of Canada | Agence de la santé publique du Canada"
"4e9f3e95-6909-4385-af4e-611b5a4e2803","Drug establishment licences and COVID-19","Health Canada | Santé Canada"
"85ac1ca1-f206-4948-97a7-4c6ccc3ff6dd","Glossary on the COVID-19 pandemic","Public Services and Procurement Canada | Services publics et Approvisionnement Canada"
"7a057dd1-1447-4ca2-9290-074e8ea666f6","Vaccines and treatments for COVID-19","Public Health Agency of Canada | Agence de la santé publique du Canada"
"03bb207a-593d-4a0e-ae25-ee16e1149d72","Coronavirus disease 2019 (COVID-19): Epidemiology update","Public Health Agency of Canada | Agence de la santé publique du Canada"
"f3fc6d58-06f0-4320-b998-3fb96056bd4e","Hard-surface disinfectants and hand sanitizers (COVID-19): List of disinfectants for use against COVID-19","Health Canada | Santé Canada"
"8be31a6e-7222-4dcf-bf99-0652ba15fbf8","Vaccines and treatments for COVID-19: List of all COVID 19 Clinical Trials Authorized by Health Canada","Health Canada | Santé Canada"
"b34162e0-38b9-4cc6-8e2e-2a4a6110f136","Special committee on the COVID-19 pandemic ","Public Services and Procurement Canada | Services publics et Approvisionnement Canada"
"cc3b6ebd-eb3a-45b4-8ecd-213203e0d941","Help reduce the spread of COVID-19","Public Health Agency of Canada | Agence de la santé publique du Canada"
"145ddabe-5e3b-4bce-b7e8-8ff2aa0748b4","Provincial and territorial resources for COVID-19","Public Health Agency of Canada | Agence de la santé publique du Canada"
"55796e3e-18f3-4c15-9bb4-37a78aecc256","Coronavirus disease (COVID-19): Canada’s response","Public Health Agency of Canada | Agence de la santé publique du Canada"
"7276bf40-15a2-4688-917e-254b3faa4dbc","Coronavirus disease (COVID-19) and food safety","Health Canada | Santé Canada"
"1e0598ce-845b-4a8e-a2a8-3b2772254d56","Entering Canada by land during COVID-19","Public Health Agency of Canada | Agence de la santé publique du Canada"
"40fe8f08-ea6d-47e8-932c-5eb81c4e62b3","The Critical Drug Reserve during COVID-19","Health Canada | Santé Canada"
"a4770dbb-2b0b-4887-be26-c45e04fcfc93","COVID-19: Support to provinces and territories","Public Health Agency of Canada | Agence de la santé publique du Canada"
"e192c41d-aabe-4c88-a8d4-f59a8d4d3154","Special Committee on the COVID-19 Pandemic","Public Services and Procurement Canada | Services publics et Approvisionnement Canada"
"5b180ead-5f76-45b8-b5e4-1eff4cbef777","Coronavirus disease (COVID-19): Symptoms and treatment","Public Health Agency of Canada | Agence de la santé publique du Canada"
"f7c80410-a3d7-467d-8542-961d61f528a3","COVID-19 negative patients who retested positive","Public Health Agency of Canada | Agence de la santé publique du Canada"
"8bef101a-0566-4484-bbea-f901bcad0d4c","COVID-19 resources for youth and students","Public Health Agency of Canada | Agence de la santé publique du Canada"
"4d73b440-4035-4b90-8ce5-b8525510baf2","COVID-19 resources for youth and students","Public Health Agency of Canada | Agence de la santé publique du Canada"
"94288d46-8924-4e87-8362-90c908c26bac","COVID-19 resources for parents and children","Public Health Agency of Canada | Agence de la santé publique du Canada"
"b7aab30a-b506-4f18-8c11-5f3d61b89cbb","Coronavirus disease (COVID-19): Summary of assumptions","Public Health Agency of Canada | Agence de la santé publique du Canada"
"1cda0333-fdc0-4c9e-b479-d6838145583d","Engaging with international partners on COVID-19","Health Canada | Santé Canada"
"1777161d-7568-4498-868c-bf9cb8bba8ce","A Pan-Canadian response to COVID-19","Public Health Agency of Canada | Agence de la santé publique du Canada"
"955b9057-b6a7-475c-ae00-64e821d21612","Coronavirus disease 2019 (COVID-19): Epidemiology update ","Public Health Agency of Canada | Agence de la santé publique du Canada"
"b2ba73ab-b3ce-413a-b238-3fccae73ab05","Coronavirus disease (COVID-19): Prevention and risks","Public Health Agency of Canada | Agence de la santé publique du Canada"
"096b8532-0b3d-4752-8e74-c7188a13918c","Personal Protective Equipment against COVID-19: Overview","Health Canada | Santé Canada"
"cc240613-83e9-4eb7-8140-e06a6eec3882","Hard-surface disinfectants and hand sanitizers (COVID-19): Disinfectants and hand sanitizers accepted under COVID-19 interim measure","Health Canada | Santé Canada"
"fb6ff8ed-5592-43bd-bb40-b261d1a770a9","COVID-19 testing, screening and contact tracing","Public Health Agency of Canada | Agence de la santé publique du Canada"
"d354fbfa-b768-400f-9618-8728dfe8a30f","Vaccines and treatments for COVID-19: List all COVID 19 Investigational Trials Authorized by Health Canada for Medical Devices","Health Canada | Santé Canada"
"217f7bbe-b392-4d00-b283-de32222f9dd2","Recommendations on the use of COVID-19 vaccines","Public Health Agency of Canada | Agence de la santé publique du Canada"
